センサー1,センサー2,検査要否
0.5451611765124788,0.9063546324452695,1.0
0.5005916612538618,0.5605545775861471,-1.0
0.7997076686076516,0.6988504927175634,1.0
0.7257514288476274,0.7029917413592057,1.0
0.6845361405362291,0.7894007273852534,1.0
0.41795413155456085,0.28186489759728983,-1.0
0.4584707676738191,0.35821169682766746,-1.0
0.8209168543095484,0.6724548410620884,1.0
0.32135804468764245,0.4500606325809121,-1.0
0.7014856094471211,0.7676425565927859,1.0
0.5819089310483558,0.8460800481917163,1.0
0.18217249905893868,0.7638424535195232,-1.0
0.6257129286461219,0.8047165435016338,1.0
0.5169714506373994,0.8575267360700471,1.0
0.3188825173879018,0.4071636078520953,-1.0
0.16603041642848693,0.8185937196706461,-1.0
0.6340461326556359,0.8140515776777625,1.0
0.39417287375542576,0.5162864770361535,-1.0
0.7759258086607824,0.7355113960199867,1.0
0.510491202883278,0.8598871303146671,1.0
0.3146264872141813,0.6821173417138107,-1.0
0.7392696213156122,0.751364162893458,1.0
0.6083274234066983,0.7845238721778509,1.0
0.6970515763620566,0.7102887208054933,1.0
0.7094864850688176,0.7324088525678424,1.0
0.5199577709004297,0.8662806639436657,1.0
0.558388237145206,0.8218718312960747,1.0
0.22157939777965593,0.7684149622023722,-1.0
0.48293324246651914,0.47596950076223793,-1.0
0.34625342522842234,0.2717476386687366,-1.0
0.3865613752029525,0.5422275875415956,-1.0
0.6576640224176507,0.7490753788752071,1.0
0.36940535504399813,0.46433692316902575,-1.0
0.44651872227412914,0.34306782903515076,-1.0
0.18003954423702756,0.5523679519911988,-1.0
0.22994952308813793,0.41567852720703313,-1.0
0.2541544977805115,0.5426098100607075,-1.0
0.20347300539989208,0.656805256549978,-1.0
0.46027917746304314,0.715272252735177,-1.0
0.7337457461968662,0.71923203712675,1.0
0.3085257387628634,0.4295980115707828,-1.0
0.8522377448675775,0.643030244141151,1.0
0.27094927289857773,0.5588434816793865,-1.0
0.44975003293552507,0.15000000000000002,-1.0
0.3517975890868816,0.6264080794328405,-1.0
0.8009722469089674,0.6974622639984059,1.0
0.8898452137997137,0.5998847357425119,1.0
0.38943552135064313,0.5385552521071287,-1.0
0.7883323848937175,0.6826296515299131,1.0
0.3205243508643344,0.6490911050945529,-1.0
0.6464764423887288,0.7507437350863403,1.0
0.4909979414943555,0.9500000000000001,1.0
0.318065760128463,0.4127005120591429,-1.0
0.5236686461098358,0.8407863046612614,1.0
0.5763961968352852,0.2982569909699958,-1.0
0.794220319514684,0.6674692976289319,1.0
0.4006886315606215,0.3882650122307663,-1.0
0.21137219592241874,0.3323434101966997,-1.0
0.6992705802107073,0.7675226357975694,1.0
0.2981654689966709,0.3740013747336259,-1.0
0.7860565601468316,0.6578243979774908,1.0
0.7090208681221737,0.7083246490310108,1.0
0.39323911821296426,0.5049481775640259,-1.0
0.6357187677082858,0.8202085933779892,1.0
0.35297257187712155,0.6218558820927087,-1.0
0.6644693367136648,0.7523714833893568,1.0
0.7784015246658746,0.667681337973886,1.0
0.6215045528184832,0.7947795610067733,1.0
0.37966188896747266,0.5278508608026242,-1.0
0.8459982687358143,0.6755840772208168,1.0
0.7698700560052882,0.7037502140170911,1.0
0.32809870051243134,0.5157377924315052,-1.0
0.36538621167536667,0.3803263960484196,-1.0
0.5874120185788976,0.8471135081609046,1.0
0.6347599785146215,0.7570103137035126,1.0
0.30373133488826126,0.5310832275905988,-1.0
0.6459869423501415,0.7682309570172013,1.0
0.6277123521516007,0.8331681921038309,1.0
0.714693100060666,0.7226689491759277,1.0
0.3079929620482996,0.7279131292771638,-1.0
0.4735436868569415,0.37490710191357784,-1.0
0.4832836468137708,0.9479917586852923,1.0
0.3583451488979638,0.467816721832988,-1.0
0.5304364762883953,0.7659643091496142,-1.0
0.15,0.3455481359748513,-1.0
0.17599907866267295,0.36121274397604647,-1.0
0.449232571612483,0.5611344836376748,-1.0
0.3782215739629689,0.5837956164753055,-1.0
0.5253232865689179,0.9342017563715965,1.0
0.484733785960903,0.7645993630321356,-1.0
0.8067614269460501,0.6610655439387328,1.0
0.25907106933150525,0.6255833029204104,-1.0
0.5733548313204619,0.6975932715436043,-1.0
0.5373656189524291,0.5471004383806947,-1.0
0.5492548037741785,0.858003462892227,1.0
0.7343231812255968,0.7093823259802071,1.0
0.6590599202546478,0.8059426591869127,1.0
0.4187880869266361,0.5778625948452203,-1.0
0.5297184930771428,0.8277896959649047,1.0
0.95,0.5713600144866446,1.0
